Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA9,MA21,uptrend,upcross,downtrend,downcross
2025-06-24 00:00:00+05:30,1459.1721495093714,1469.1323689599471,1437.359244595668,1445.0286865234375,16402744,0.0,0.0,1436.0091688368057,1428.3050246465773,1,0.0,0,0.0
2025-06-25 00:00:00+05:30,1458.1762135192969,1466.5428226679085,1454.690136506102,1461.463134765625,7525851,0.0,0.0,1438.8533799913193,1430.4488467261904,1,0.0,0,0.0
2025-06-26 00:00:00+05:30,1463.2558362824063,1492.8377614283193,1459.2717484446844,1489.3516845703125,14657893,0.0,0.0,1446.312472873264,1434.3570440383185,1,0.0,0,0.0
2025-06-27 00:00:00+05:30,1493.4353527246628,1515.9454247275912,1490.9452978220222,1509.3717041015625,11117052,0.0,0.0,1454.900390625,1438.9861711774554,1,0.0,0,0.0
2025-06-30 00:00:00+05:30,1507.7781788170053,1518.734421010171,1490.0489382705405,1494.630615234375,8409527,0.0,0.0,1462.580837673611,1442.7663109188989,1,0.0,0,0.0
2025-07-01 00:00:00+05:30,1494.630607775488,1525.3081343971446,1494.132596769193,1522.320068359375,10368523,0.0,0.0,1473.4596218532986,1448.2064906529017,1,0.0,0,0.0
2025-07-02 00:00:00+05:30,1522.3200879079554,1523.9136988316197,1502.6983810571346,1512.75830078125,6361002,0.0,0.0,1482.9218343098958,1453.5802699497767,1,0.0,0,0.0
2025-07-03 00:00:00+05:30,1514.7502729656235,1525.8060926058627,1506.9812529023668,1511.76220703125,11283291,0.0,0.0,1488.6323649088542,1458.0528855096727,1,0.0,0,0.0
2025-07-04 00:00:00+05:30,1517.9375659885409,1523.913698138102,1511.1645675851503,1521.2244873046875,6603501,0.0,0.0,1496.434543185764,1462.0796654110864,1,0.0,0,0.0
2025-07-07 00:00:00+05:30,1520.5271677380254,1538.65484117058,1518.933556847784,1535.367919921875,7251074,0.0,0.0,1506.4722357855903,1466.727771577381,1,0.0,0,0.0
2025-07-08 00:00:00+05:30,1529.8897875590692,1538.7544076502807,1524.1128113419518,1531.4833984375,7171261,0.0,0.0,1514.2522650824653,1470.9395170665923,1,0.0,0,0.0
